'Planner', 'Visualization',Simulation_Time,'Max nr of acs in grid', 'dt', 'Nr Spawned acs', 'Avg nr of acs in grid',Mean t CBS',Max_t_alg, 'Total time',Average_route_time_per_ac,Max_route_time_per_ac,'Average route length per ac','Max route length per ac',,,CoV TTT,CoV ARA,CoV MRT,CoV MAT,,,,,
CBS,FALSE,100,5,0.5,50,4.38,0.027927275,0.516690254,5.69827199,9.26,13,18.52,26,,35,0.04058737,0.0437634,0.039833506,1.043301842,,,,,
CBS,FALSE,91.5,5,0.5,50,4.415300546,0.024832125,1.050308228,5.218255758,8.58,12,17.16,24,,36,0.040689758,0.043328878,0.039476698,1.015267379,,,,,
CBS,FALSE,94,5,0.5,51,4.292553191,0.007837855,0.241354942,4.691601515,8.411764706,12,16.82352941,24,,37,0.040220725,0.043309929,0.039125774,1.023370753,,,,,
CBS,FALSE,90.5,5,0.5,50,4.331491713,0.005879497,0.06678915,4.07256937,8.34,12,16.68,24,,38,0.040614322,0.043494896,0.038780962,1.044326079,,,,,
CBS,FALSE,96,5,0.5,51,4.4375,0.030746538,1.135043621,5.239677906,8.852941176,12,17.70588235,24,,39,0.040084974,0.042944473,0.038442406,1.01720652,,,,,
CBS,FALSE,93,5,0.5,51,4.494623656,0.004965862,0.023962736,3.951722622,8.696078431,12,17.39215686,24,,40,0.039783023,0.042411705,0.038110186,1.040537012,,,,,
CBS,FALSE,99.5,5,0.5,51,4.391959799,0.009064097,0.11170125,4.38778162,9.068627451,12,18.1372549,24,,41,0.039841742,0.042213292,0.037784334,1.056352477,,,,,
CBS,FALSE,94,5,0.5,50,4.382978723,0.00887386,0.066821098,4.139827013,8.74,12,17.48,24,,42,0.039430754,0.0416998,0.03746484,1.075069814,,,,,
CBS,FALSE,99.5,5,0.5,50,4.246231156,0.004595803,0.022947073,4.360841036,8.95,12.5,17.9,25,,43,0.039477979,0.041309317,0.03714125,1.096750635,,,,,
CBS,FALSE,93,5,0.5,50,4.462365591,0.012815413,0.328155041,5.173103809,8.8,12.5,17.6,25,,44,0.0392311,0.040826668,0.036824233,1.096377584,,,,,
CBS,FALSE,102,5,0.5,51,4.411764706,0.070385564,1.449180603,7.028919935,9.323529412,12,18.64705882,24,,45,0.04006989,0.041395128,0.036546847,1.07142886,,,,,
CBS,FALSE,92,5,0.5,50,4.451086957,0.007978636,0.104687691,4.43722558,8.69,12.5,17.38,25,,46,0.040030206,0.040969356,0.036252823,1.085718335,,,,,
CBS,FALSE,96.5,5,0.5,50,4.29015544,0.004478389,0.015957594,4.142705917,8.78,12,17.56,24,,47,0.03961501,0.040521381,0.035995593,1.106053337,,,,,
CBS,FALSE,98.5,5,0.5,50,4.324873096,0.00887155,0.083775282,4.348402977,9.02,12,18.04,24,,48,0.039428733,0.040262294,0.035742094,1.120965086,,,,,
CBS,FALSE,89,5,0.5,50,4.140449438,0.255249148,12.06636643,16.62979627,7.87,12,15.74,24,,49,0.04028317,0.042607544,0.035492374,2.230659254,,,,,
CBS,FALSE,101.5,5,0.5,50,4.251231527,0.021187825,0.656244993,4.809761763,9.13,12,18.26,24,,50,0.040824159,0.042546224,0.035246458,2.215257445,,,,,
CBS,FALSE,93,5,0.5,50,4.387096774,0.005376935,0.033909082,4.04561162,8.66,12,17.32,24,,51,0.040606122,0.042166693,0.035004354,2.239086762,,,,,
CBS,FALSE,101.5,5,0.5,50,4.197044335,0.016954427,0.28723073,4.584043026,9.02,12,18.04,24,,52,0.041092693,0.041916032,0.034766056,2.245796603,,,,,
CBS,FALSE,93.5,5,0.5,50,4.379679144,0.050707468,0.910746813,6.265408993,8.69,12,17.38,24,,53,0.040824924,0.041539425,0.034531544,2.215985314,,,,,
CBS,FALSE,91.5,5,0.5,50,4.31147541,0.008758607,0.094746828,4.61248374,8.39,12,16.78,24,,54,0.040882556,0.041604931,0.03430079,2.234454647,,,,,
CBS,FALSE,102,5,0.5,50,4.245098039,0.027675803,0.915544987,5.014160156,9.16,12,18.32,24,,55,0.041480704,0.041628341,0.034073756,2.205062041,,,,,
